TV,Radio,Social Media,Influencer,Sales
Medium,10.70403354,3.313741031,Macro,192.2201481
Low,5.671721291,0.712198048,Nano,53.79021764
Medium,11.87274594,2.349050432,Nano,201.742012
Low,12.55262291,1.431271991,Micro,118.9983017
Low,16.54897865,2.507602578,Micro,118.1257389
Low,10.43493748,3.021098715,Micro,39.05670605
Medium,15.39492963,4.813227646,Mega,196.7187138
Low,7.486313376,3.155098432,Macro,49.4566405
Low,17.76937744,1.421504768,Mega,123.8685578
High,28.04443897,3.311678578,Micro,301.138568
Low,15.26673306,2.205879856,Macro,88.96782897
Medium,20.91279178,4.007210363,Mega,247.9036965
Medium,19.98811488,1.958181971,Mega,236.339815
Low,4.435772821,0.372863616,Macro,126.6539569
Medium,22.06340243,3.577571811,Micro,229.2522388
Medium,20.37854572,3.688392213,Mega,145.4082544
Medium,18.97956401,2.374604112,Mega,187.4514522
Medium,16.17484875,1.898537466,Micro,185.0487647
Medium,10.70249963,3.106184502,Nano,181.4839824
Low,12.22988349,5.542360445,Micro,75.93383288
Low,14.53701186,5.115165808,Micro,82.95910852
Medium,11.37558877,0.711758296,Nano,199.4999307
Low,20.04563677,3.7938089,Mega,132.2091868
Medium,24.90507404,2.458070702,Micro,249.4106969
High,26.11945389,2.807858549,Micro,274.1270839
High,26.90236509,3.092274781,Nano,317.3168665
Medium,15.1421411,2.24962288,Macro,240.107728
Medium,18.90404688,3.609313091,Nano,161.5873361
Low,15.40876685,1.935104705,Macro,133.6114088
Low,10.90658815,0.283125518,Mega,80.50988544
High,39.22119838,10.42085288,Mega,336.8884053
Low,7.931488441,5.022012056,Nano,34.77154801
Medium,10.24455279,1.64791391,Nano,218.1599843
Medium,15.62012582,0.969789938,Nano,242.7292333
Medium,14.69851591,1.463555453,Micro,202.8868815
Low,9.847549535,0.553308611,Micro,109.5537687
Medium,24.21323418,3.817027564,Mega,184.0961892
Low,8.228726375,1.59572773,Mega,72.91644672
Medium,19.03006896,2.701390218,Micro,246.2403062
High,34.28471357,10.33797765,Micro,354.6804507
Medium,20.88550566,0.552810251,Macro,202.7919917
Medium,17.5538255,3.39216147,Mega,237.7424954
High,22.2599302,3.354030175,Mega,283.2511074
Medium,20.31684589,2.650210785,Nano,238.7782899
High,21.26967221,4.21270956,Macro,263.8948274
Medium,30.6827721,6.365577398,Micro,213.2245182
Low,12.28524638,0.224403383,Micro,131.8205648
Medium,15.81007671,0.495169721,Mega,229.5582512
Medium,17.79116447,0.878425861,Nano,216.1390948
Medium,9.016529466,2.7795578,Micro,157.4058687
Medium,15.88374141,0.352862306,Nano,152.4930713
Low,5.180326908,1.332821498,Nano,77.69255229
Low,11.64101703,1.088920803,Micro,129.9458887
Low,7.244487161,2.260934844,Macro,141.009684
High,37.55223206,6.093938019,Macro,348.6783865
High,20.57784486,4.50390565,Micro,290.3717146
Medium,15.79333037,1.878801595,Macro,148.7902583
High,33.67469531,8.243045066,Nano,290.0198478
High,36.0777564,11.40362504,Macro,304.9706255
High,22.29068202,3.487820374,Mega,309.2154343
Low,12.63758596,0.308467931,Micro,112.8147944
High,32.07909439,4.158338824,Mega,342.6522282
Medium,17.04016276,3.156623295,Macro,190.4596035
Low,7.070616403,2.235482268,Nano,109.9416385
Medium,19.83350146,2.169126347,Nano,247.5921365
Low,12.66874316,2.059276863,Macro,82.44643572
Low,1.228081695,1.523414744,Macro,33.50980953
Medium,10.58168047,1.401502174,Nano,164.5996041
Medium,19.69648546,3.041314013,Macro,167.5101119
Low,11.85926874,1.787562176,Mega,110.3772781
Medium,2.451159611,1.932471284,Mega,201.4312428
Medium,26.16107046,3.582985818,Mega,247.4803463
Medium,15.96668752,5.046547629,Micro,148.2024141
Low,9.711793355,4.085503675,Micro,136.2617
Low,2.198543559,0.346488071,Nano,41.63049839
Low,9.383684038,1.622313049,Nano,144.2954967
High,27.93358042,5.902596689,Mega,276.098803
Medium,6.888967892,1.847115421,Micro,151.0677477
Medium,19.01537456,6.543306951,Mega,153.5822256
High,26.46927388,7.070945085,Micro,328.2393781
Low,10.95649923,2.940480542,Mega,92.1327262
Medium,14.10622944,0.750124734,Macro,146.5321116
Medium,17.68086233,2.147842325,Nano,159.3518594
Low,3.97700114,0.130780036,Mega,90.18167788
Low,8.192233052,1.786003784,Nano,139.7761666
High,33.30849773,7.820146668,Nano,310.8965435
High,17.55050904,4.041451356,Macro,252.3732128
Low,15.16117672,1.608331687,Nano,141.6279548
Medium,18.85597236,2.305723529,Micro,167.6367081
High,18.96636214,4.058402635,Mega,260.8904476
Medium,14.84955816,6.545391968,Micro,181.6616002
Medium,11.73759835,1.040604116,Macro,218.9726225
Medium,22.2209252,5.664413416,Mega,229.7089662
Medium,22.23688421,5.39787857,Mega,225.0827009
Low,12.03495904,1.471282913,Micro,139.4419626
Medium,20.26585723,3.446132597,Micro,171.8566675
High,32.98528869,3.891731352,Micro,351.0535774
Low,11.65346233,0.4192589,Nano,57.6272184
Low,16.97491196,5.187082923,Micro,144.8229801
Medium,14.88018119,2.367556821,Macro,197.225133
High,23.39740195,3.27863247,Macro,307.6293178
Medium,26.14881955,1.866911198,Nano,219.0783537
Low,10.9248179,2.761077651,Nano,120.4480819
Medium,20.06195686,2.818226959,Mega,210.3024538
Medium,6.180146182,1.886427524,Micro,145.2658074
Low,7.886447626,1.758378079,Mega,124.2568582
Medium,17.1275201,1.462856663,Micro,157.65616
High,22.37030589,0.171148051,Nano,257.6727806
High,33.5556744,5.401715328,Micro,343.7047069
Medium,24.16913194,2.087910259,Micro,161.7170871
High,22.22106752,4.799168916,Micro,321.5551625
High,32.45209007,4.445174089,Micro,324.5892769
Medium,5.53180147,0.738537115,Macro,150.8313558
Low,15.77276268,1.943856468,Nano,70.43434129
Medium,20.73205864,5.623284528,Mega,207.4863233
Medium,25.31524585,3.522263977,Nano,203.7718264
High,33.43132208,3.017408356,Nano,351.230812
Low,9.282685174,3.055758381,Mega,76.99292807
High,26.31231351,5.591730811,Macro,264.5447223
Low,0.216101168,0.753242703,Mega,41.39651524
Medium,15.2413917,0.114189919,Macro,209.1489884
Low,2.478502537,1.480315228,Micro,38.86596606
Low,18.37349871,4.085720398,Mega,136.2090591
Low,12.90902808,4.127052774,Macro,84.23062597
Low,10.43400455,2.627862541,Micro,49.6229099
High,26.67272207,4.564258578,Nano,291.3200448
Low,14.21518214,2.005887022,Micro,122.2048994
Low,9.748085525,0.409903698,Macro,85.23791476
Low,5.529660156,1.538808526,Macro,71.37816586
High,21.19623719,2.288930782,Nano,265.2197984
High,27.53643281,8.981325852,Macro,336.4318516
Low,11.79752103,0.279324759,Macro,52.31974763
Medium,22.14974584,5.275784898,Micro,169.5980174
High,20.72400777,5.503499783,Macro,274.793308
Medium,20.06155575,3.529274197,Nano,226.9989318
Low,16.53246746,1.140112518,Mega,135.1027922
High,23.48296489,3.750273951,Micro,263.3750447
Medium,28.75170232,6.739499589,Mega,244.9267479
High,28.86749641,3.481911572,Nano,270.0653225
Low,1.656750399,0.038167672,Nano,56.4627635
Medium,21.03218038,5.087016957,Micro,174.5641128
High,24.48397916,5.918985615,Micro,297.0564909
Low,13.52767982,1.309440016,Micro,134.6971202
Medium,14.19845566,3.631962564,Nano,231.7642637
Low,2.470891055,1.029124697,Nano,49.76578638
Medium,12.39492222,0.742938135,Mega,176.9281077
Low,23.74013807,2.669949446,Macro,137.1688236
Low,12.87917212,0.569848093,Nano,84.35561875
Medium,13.09088428,2.950203359,Macro,176.7169009
Low,8.720237277,1.05124005,Micro,100.6415713
Medium,11.20191354,3.278170228,Micro,210.069569
High,29.34550253,3.295645315,Nano,262.0124404
Medium,26.91641432,5.854134269,Nano,215.8550141
High,36.42230623,9.997472195,Nano,335.3014311
High,18.42630998,3.158669402,Macro,316.3148646
Low,11.33818605,3.13e-05,Mega,67.66681205
Medium,18.5065161,4.245568702,Mega,234.1596648
High,33.65814441,6.51658012,Nano,356.3362079
Low,7.852243612,0.349657474,Micro,144.1559099
High,28.78290675,7.412178995,Macro,351.5295188
Medium,26.47185629,6.427113657,Nano,233.8431002
High,22.33691421,3.305106634,Nano,260.4652558
High,29.60636034,4.53404604,Micro,331.0361116
High,36.11609149,3.67429598,Macro,353.8046387
Low,12.24402504,5.347549295,Nano,47.05770262
Low,16.53025145,2.138833994,Mega,125.6101586
Low,21.10789156,3.196668702,Nano,100.3285109
Medium,23.82047528,1.627421268,Micro,159.4508481
Low,1.4394043,0.476601268,Mega,90.93193458
Medium,12.6218375,0.618199397,Macro,157.508248
Low,16.85678293,3.886005263,Mega,118.9163836
Low,1.988066733,2.637867593,Mega,43.69948833
Low,8.781974568,3.023611644,Nano,131.7340053
Low,4.561312156,1.652759623,Mega,104.1503565
Low,8.177614367,3.447205649,Nano,119.4005846
Low,10.82316525,0.023109357,Micro,94.73689499
Medium,10.99758175,2.293062106,Nano,167.1158814
High,31.36438375,7.209496962,Macro,269.9524569
Low,11.59153516,1.284588077,Macro,115.6143077
Medium,18.18146552,2.970729615,Mega,232.2256845
Medium,19.83138083,2.825675852,Micro,170.979336
Low,8.09305976,2.677550763,Macro,91.56749737
High,19.19058531,1.96627845,Micro,279.2244259
Medium,16.05487189,1.791704679,Macro,219.7573225
Low,4.799850688,0.570028459,Macro,90.33315235
Medium,22.33436079,3.378794858,Mega,156.9208771
High,27.8735925,5.378532398,Micro,317.4466236
Low,2.433254458,2.478694936,Micro,42.77124819
Low,8.939084838,1.008130201,Micro,34.10189493
Low,0.544774758,0.584802079,Micro,61.92842166
High,31.49086179,2.679171631,Micro,328.5020583
Medium,25.37723103,3.997027881,Micro,172.8854592
Low,9.953269119,0.713255761,Nano,134.3960949
Medium,15.28763889,4.180978812,Mega,157.8822087
Medium,15.46760824,3.337645908,Mega,191.3995094
Medium,24.35904434,3.797367287,Nano,174.1981389
High,25.30668459,8.030213252,Mega,332.6334624
High,21.26509998,5.22210992,Micro,272.8654886
Medium,12.98767686,2.977329727,Mega,158.5387703
Medium,22.35807756,2.546508726,Mega,226.9880817
High,25.36070505,3.636620364,Micro,260.1040896
Low,2.405404817,0.50779351,Mega,70.97470749
High,31.13707294,7.574485845,Nano,304.7830071
Medium,19.00284737,4.362036251,Mega,154.2330303
High,26.52648147,7.958528174,Micro,336.3691573
Medium,21.15923997,0.1411057,Micro,223.0521522
High,20.61068542,6.54557309,Nano,249.1019155
Low,5.26644146,1.353228723,Mega,98.37497073
High,33.64954284,6.652385998,Nano,314.8714995
High,30.93431708,4.066906068,Macro,251.1436688
High,33.16642967,1.289134539,Mega,324.0969621
Low,15.25354503,0.935726218,Macro,123.6561859
Medium,22.44665475,6.654602404,Mega,243.8144022
High,22.15841736,2.535527683,Mega,263.5079422
High,26.45466629,7.956071282,Nano,279.1802705
Low,10.69072552,3.635755458,Nano,84.80777196
Low,15.39340935,2.025059397,Nano,91.25692569
Medium,12.11627058,4.173004258,Macro,152.0483513
Medium,16.97645374,4.517268013,Nano,208.1119326
High,32.21629028,5.011827563,Mega,346.2070486
High,25.51282008,5.125009083,Mega,324.0477099
Low,3.812578426,0.346377813,Nano,41.90670866
Medium,6.313173395,1.310027864,Macro,152.8312537
High,24.00515281,5.328289074,Micro,288.9235024
Medium,11.75924833,5.010336123,Mega,147.8598054
Medium,28.38518716,6.157704568,Micro,222.4507601
High,20.29945501,8.637936045,Nano,268.5657321
Low,8.840112507,0.962941668,Nano,125.3870645
Low,14.77598499,8.008030729,Mega,124.1659072
High,23.77898268,2.930681192,Micro,295.4915271
High,21.63872186,4.977302203,Nano,283.9177917
Low,8.852094414,0.041494349,Macro,101.8731014
Low,13.80214449,4.654436607,Nano,144.4035676
Medium,15.83879227,4.468691942,Micro,169.2070647
High,29.79930364,4.062496317,Mega,273.202171
Low,11.56440578,3.196670639,Micro,129.1776006
Low,4.27751947,0.617684626,Nano,99.01487053
High,29.09884013,3.436515796,Nano,288.8354078
Medium,17.92129715,2.374454098,Nano,167.4756663
Low,10.03259879,0.684486506,Nano,38.69555595
Medium,17.43919472,2.697972086,Mega,153.0511109
Medium,23.67190912,3.362017203,Mega,217.368027
Low,13.68520147,2.216926901,Macro,61.63307421
Medium,27.8250589,7.517227186,Mega,251.8373844
Low,20.63387374,3.44271492,Micro,129.5227154
Medium,6.591213206,0.763794602,Macro,168.0750508
Medium,12.79549978,1.228337955,Mega,156.070975
Low,21.57160034,0.182594127,Micro,89.0932451
High,36.73413489,7.359714283,Micro,354.1039697
Low,6.721845062,1.367690472,Nano,82.43756501
Low,11.56340328,1.727947024,Nano,121.9495696
Low,17.17151486,4.116564215,Macro,139.0004943
Low,6.029834723,4.226553307,Mega,95.39293351
Low,0.109105522,0.981484257,Nano,54.63471073
Low,5.345458831,1.836594068,Micro,96.09869452
High,31.18586055,7.488026788,Mega,291.314666
Low,15.82644174,1.740744439,Nano,127.5466597
Low,0.388039549,1.104823047,Macro,52.03837385
Low,18.17030662,4.848508766,Nano,133.4247192
Low,16.10246464,4.881430652,Mega,74.81459598
Medium,22.93800806,0.049662684,Nano,188.4611145
High,28.20271003,7.586978644,Macro,300.0219219
Low,12.1535313,4.060535456,Micro,144.9858839
High,32.18271929,3.791252056,Macro,316.5400344
Low,2.334265598,0.061268949,Macro,94.63760923
High,39.52760349,3.778663467,Mega,347.9878618
Low,0.894522052,1.024989237,Micro,85.81164773
High,26.07549862,5.143706423,Mega,269.4449939
High,32.28081447,4.606427961,Mega,311.4335461
High,24.78624404,6.349962293,Mega,309.2043274
Medium,15.69550209,4.621334711,Nano,156.9593326
Low,16.2792597,5.187613793,Macro,119.4727749
Medium,19.84177838,4.035106928,Micro,178.557418
Low,21.12198513,5.403303971,Nano,119.5591274
Low,1.61910271,2.938538282,Macro,57.90089101
Medium,12.69509229,3.88458384,Macro,162.1913335
High,28.055282,3.205905832,Micro,261.0790365
Medium,18.30859625,3.349844406,Macro,232.8098953
High,16.70931471,1.792285775,Mega,269.7375692
High,20.6830343,2.820506276,Macro,281.4104149
Low,3.53866401,0.828501974,Nano,41.48489864
Low,6.416720778,2.258860613,Nano,66.76720286
Medium,10.77079934,4.423494837,Macro,161.5821401
High,35.94267446,3.479529086,Mega,280.1191449
Medium,20.82910512,3.906481634,Nano,182.7487325
High,36.12613503,6.662022421,Micro,311.743669
Medium,15.52766221,2.055274228,Macro,210.9051685
High,28.64511969,4.707488062,Nano,311.6702409
Medium,3.497200302,3.337071447,Nano,174.7450326
Medium,21.37608291,4.584668421,Micro,236.5744786
Medium,16.21666237,4.527337829,Macro,176.198368
High,18.12593442,3.547403641,Nano,257.3816404
High,20.39194685,3.212250256,Macro,289.1757587
Low,7.46265367,2.487820224,Micro,100.2251531
Low,2.400931141,1.783291031,Nano,95.82210034
High,29.57319313,5.647527894,Nano,298.3137084
Medium,11.05567279,2.339107702,Mega,186.9707267
High,30.18568336,3.43784591,Micro,320.2239615
High,24.32547288,3.671370321,Nano,259.992715
High,28.18236541,4.826003841,Mega,353.0032234
High,30.10706369,8.054539885,Mega,357.7881952
High,24.50900907,5.51559835,Mega,272.5490106
High,28.66004546,3.637390017,Macro,321.7444568
Medium,14.15724514,3.449239584,Micro,201.9961016
High,25.98992347,4.655323383,Macro,333.3198427
High,29.50164045,4.919930365,Macro,344.0900697
Medium,11.65648785,0.358471532,Micro,228.5646491
Low,1.631346708,3.584063728,Micro,79.27951356
Low,9.103024458,2.079436044,Macro,124.7625062
Medium,24.40554207,6.450373512,Mega,197.083995
High,25.85526144,5.046778104,Macro,260.9790138
Medium,15.24125873,3.849375364,Mega,193.101443
High,29.4842347,7.237783972,Nano,268.7997822
Medium,11.41018973,2.206969456,Mega,156.3562456
Low,2.565648922,2.035296833,Mega,37.59292526
Low,6.352914129,5.654725259,Nano,64.56053498
Low,5.312299993,0.516589987,Nano,106.5992303
Medium,25.10416247,6.380922006,Macro,203.6774283
Low,16.68732493,0.377600773,Mega,119.2920553
High,31.55684861,6.639293117,Micro,316.1769362
High,24.36995576,3.57934547,Mega,305.1813506
High,30.42745318,7.71672421,Nano,330.6437143
Low,11.66355563,0.421868807,Micro,130.1610471
High,22.27671374,3.290079821,Mega,322.6677652
Low,0.559364137,0.865257524,Macro,104.0141267
High,32.49040456,8.220533067,Micro,347.693601
High,25.04782863,3.111012701,Micro,295.4963766
Medium,5.526393657,0.482566921,Micro,147.427697
Low,1.896591048,1.966394722,Micro,84.30943506
Medium,21.32044497,4.852932371,Nano,249.2061005
Low,12.99050602,3.381622724,Micro,98.90352508
Medium,20.48868764,5.290458667,Mega,202.3547575
High,30.06499774,4.96087232,Mega,341.4376388
High,26.39407008,3.83736988,Mega,279.5906387
Low,3.61889035,0.424484925,Micro,57.13208846
Medium,17.02750719,3.249834162,Nano,244.8532522
Medium,14.02166314,2.265041568,Nano,226.1960569
High,31.10307277,6.854287446,Macro,322.6051055
Medium,22.22292707,3.600054733,Nano,174.8927672
High,34.03836813,3.568004941,Nano,349.2089862
Medium,22.28131803,5.024264569,Mega,237.488704
Medium,18.5906666,1.662433769,Micro,207.7180998
Medium,20.89599208,2.781968992,Micro,199.5566597
High,24.73827816,3.608007687,Mega,313.1932687
High,27.65593332,3.643025864,Micro,310.0771395
High,28.7254987,5.147521114,Nano,342.8327117
Medium,15.76697775,3.123576476,Nano,197.7312739
High,29.58800787,5.256752406,Macro,262.8823829
High,33.70789822,3.327272719,Nano,309.3616681
Medium,15.83243453,2.941996909,Nano,147.4752162
Low,6.856474267,0.635842754,Nano,54.87146753
Low,12.1555835,0.932529328,Macro,106.0995933
High,35.90697485,5.440589084,Macro,291.3133157
Low,4.952233443,2.039853759,Macro,37.94248252
Low,14.06659351,1.322903892,Micro,90.81196516
High,24.97171642,3.384708684,Mega,260.2958494
Low,16.58869133,2.016096817,Macro,121.0863531
Low,4.444784543,1.415729265,Micro,121.0460117
High,23.51262647,5.371989647,Micro,265.8966362
High,28.55292026,5.105355549,Nano,347.1633989
Medium,12.26171856,1.62291368,Mega,146.6595162
Low,11.50047978,0.639035727,Mega,95.2140988
Medium,23.44360429,3.951207434,Mega,237.7629107
Low,16.06043166,3.80506952,Micro,106.8833364
Medium,20.1149829,3.835213717,Nano,219.9291633
Low,6.831105212,1.051652994,Micro,94.28890228
Medium,19.74143007,1.555014748,Micro,192.110626
High,14.97152964,4.950837638,Nano,330.1523834
Low,4.079788849,0.922612615,Mega,81.13090923
High,37.37620072,2.616112731,Nano,314.5549903
High,31.21946728,7.587730571,Nano,270.6535949
Medium,16.94523174,2.181723009,Micro,188.8248058
Low,4.217292404,0.15064496,Nano,46.75765774
Low,5.515064497,0.767888515,Macro,36.30549977
High,28.22427787,3.729510231,Macro,312.5706663
Medium,25.10714076,7.154155755,Mega,201.3638581
Low,0.675873706,3.25992037,Mega,39.78232893
Medium,18.94795499,2.229813818,Micro,160.5796388
Medium,13.25095926,2.680226827,Nano,218.1731421
High,25.79314124,3.094833521,Nano,317.0374264
Medium,27.81491888,2.873346769,Nano,243.2864343
Medium,19.50772328,3.276653643,Mega,182.8887706
Low,4.693662632,2.156240536,Macro,34.56679012
Medium,18.09700717,0.102153377,Micro,160.4351038
Low,1.311583983,0.91786893,Micro,48.23208285
Medium,14.59052219,2.353695787,Micro,162.4281991
High,21.53695515,1.232423551,Micro,264.9989865
Low,9.809647258,2.175099221,Macro,51.15173712
Medium,14.70641376,3.98567555,Micro,200.002557
Medium,18.89275737,6.418796387,Macro,202.5339757
Low,9.409506568,1.018662426,Micro,91.27428359
Medium,18.31721305,5.106410106,Mega,222.4538087
Low,12.96311522,0.910273486,Macro,66.70886844
Low,10.0151608,2.074406562,Nano,111.9802845
Low,1.463574417,1.633269621,Nano,38.78418237
High,31.55506543,5.829251423,Nano,286.0660872
Low,14.14716305,7.161305345,Nano,134.6410155
Medium,27.23205765,4.969437558,Micro,211.7283823
Low,2.208687393,0.194148665,Micro,94.32551695
Low,7.570742919,0.732234227,Macro,109.9760621
Low,14.94411052,1.452690809,Nano,98.6526218
Low,6.527093405,4.829395036,Macro,89.66739821
High,36.13679466,8.724352447,Nano,340.7979819
Medium,10.06244907,0.24725853,Nano,154.8917662
Low,0.426664164,1.40326962,Nano,49.21733538
High,19.41571685,2.783297563,Mega,258.443524
Medium,13.48532605,5.942775544,Nano,157.8814771
Medium,16.42661311,4.59993881,Nano,235.1325966
Low,9.529038854,0.046324514,Macro,122.398031
Medium,14.68622497,3.854732763,Mega,183.9145347
High,25.0517546,4.273356679,Nano,270.1674917
Medium,22.27987654,2.004705935,Nano,241.6568055
High,26.71216178,5.834040145,Mega,308.0598456
Low,7.801082015,1.758760771,Nano,113.3989396
Medium,18.99043686,2.714217977,Micro,168.0814469
Low,1.77342788,1.882742602,Nano,40.81688385
Medium,30.72403855,7.606630452,Micro,237.6481109
Low,7.80977491,2.943760793,Macro,67.28327311
High,29.28103583,4.182346523,Micro,300.7539331
High,42.27157869,7.379310185,Macro,328.8426678
Low,8.217607504,1.975593443,Nano,103.8727026
Medium,6.574754043,1.906421473,Mega,146.4444888
High,22.08457409,1.663684165,Nano,248.7031099
Low,10.42906573,4.37599992,Macro,138.4315947
Low,14.81694261,5.930061418,Mega,95.0360686
Low,12.81782842,0.208065654,Micro,113.5914336
Low,4.583280072,1.76559653,Mega,88.89097675
High,36.50269966,5.544405637,Nano,327.5925024
High,32.920194,9.904286084,Nano,357.1245732
Low,5.176451181,3.561284656,Nano,100.1458568
Medium,22.43386587,0.874304744,Micro,232.4095312
High,20.72482281,4.321570987,Nano,314.8295426
High,34.76307368,3.207630038,Micro,347.2449302
Medium,20.46492633,4.853305007,Micro,230.5179505
High,25.26324859,2.504473175,Nano,267.235998
Medium,18.16783386,7.064557009,Macro,244.8659231
High,31.97400407,6.8890137,Macro,288.9961214
Medium,23.65891291,2.309970166,Nano,173.0682943
Low,8.556137899,2.255180617,Mega,79.28170883
Medium,14.74315816,5.086102811,Micro,152.6018822
Medium,24.74052081,9.85509108,Macro,152.510022
High,24.59918411,4.602429717,Macro,298.5811724
Medium,23.71846209,4.222897828,Mega,194.2077346
Low,12.52223274,0.056339938,Micro,119.0233823
High,24.62803209,9.751647012,Micro,314.4924171
High,29.34460985,3.436481014,Mega,336.3726161
Low,10.30266681,2.397550882,Macro,37.15633949
High,26.19652482,5.181134485,Mega,286.7701102
Low,20.13539246,4.956791317,Micro,142.7437996
Low,5.717314068,0.126471551,Micro,91.03215459
High,27.77118565,4.870181828,Macro,299.2571021
Low,13.18725635,2.766352269,Macro,140.4152859
Low,5.166331806,0.210617998,Nano,56.37026828
Low,8.907131624,3.91181952,Nano,101.3116574
High,28.03957327,2.83256978,Mega,335.6043224
Low,5.121271546,0.875164961,Mega,122.8236586
Low,1.648197979,1.30572513,Mega,43.06509252
Low,8.827911582,3.775343168,Nano,93.1858473
Medium,19.43854953,1.017771272,Macro,228.8209795
Low,1.397371107,1.444591132,Nano,77.54794767
Medium,4.510233003,0.651581966,Mega,148.9073606
Low,15.54358234,4.829662566,Mega,129.3323791
Medium,10.17876113,0.774718817,Micro,162.0752637
Low,4.490602106,0.947531027,Mega,55.79275944
Low,9.02380286,1.837913545,Nano,70.50156181
Low,18.9731144,5.827214413,Macro,91.0654531
Low,1.430684248,1.661340041,Micro,46.63333169
Low,1.530848403,1.171052492,Mega,129.5969547
Medium,20.97212652,3.386159119,Nano,242.4652608
